"","Date","Team","Opponent","Location","TeamScore","OppScore","POSS","Result"
"2","11/16/2016","A&M-Corpus Chris","UTRGV","A",94,72,80.8375,"W"
"3","11/21/2016","A&M-Corpus Chris","Texas St.","A",73,69,65.6625,"W"
"5","11/29/2016","A&M-Corpus Chris","UTRGV","H",84,68,75.9,"W"
"6","12/03/2016","A&M-Corpus Chris","Cal Poly","A",70,82,62.7875,"L"
"7","12/05/2016","A&M-Corpus Chris","Texas A&M","A",69,86,68.125,"L"
"9","12/18/2016","A&M-Corpus Chris","UTSA","H",73,69,66.6375,"W"
"11","12/22/2016","A&M-Corpus Chris","Oklahoma St.","A",70,92,79.3125,"L"
"12","12/31/2016","A&M-Corpus Chris","New Orleans","A",72,73,76.8125,"L"
"13","01/02/2017","A&M-Corpus Chris","Nicholls St.","A",64,68,68.9125,"L"
"14","01/07/2017","A&M-Corpus Chris","Northwestern St.","H",99,82,78.9625,"W"
"15","01/11/2017","A&M-Corpus Chris","SFA","A",46,79,69.075,"L"
"16","01/14/2017","A&M-Corpus Chris","Central Ark.","H",88,81,78.4125,"W"
"17","01/19/2017","A&M-Corpus Chris","SFA","H",58,61,65.55,"L"
"18","01/21/2017","A&M-Corpus Chris","Sam Houston St.","A",62,76,69.825,"L"
"19","01/25/2017","A&M-Corpus Chris","Lamar University","A",69,66,69.625,"W"
"20","01/28/2017","A&M-Corpus Chris","Abilene Christian","H",72,60,62.1375,"W"
"21","02/01/2017","A&M-Corpus Chris","Houston Baptist","H",90,79,75.375,"W"
"22","02/08/2017","A&M-Corpus Chris","Southeastern La.","H",80,75,69.925,"W"
"23","02/11/2017","A&M-Corpus Chris","McNeese","A",73,66,66.525,"W"
"24","02/15/2017","A&M-Corpus Chris","Incarnate Word","A",97,81,72.375,"W"
"25","02/18/2017","A&M-Corpus Chris","Lamar University","H",70,63,65.0625,"W"
"26","02/22/2017","A&M-Corpus Chris","Abilene Christian","A",56,44,64.15,"W"
"27","02/25/2017","A&M-Corpus Chris","McNeese","H",81,70,74.925,"W"
"28","03/01/2017","A&M-Corpus Chris","Houston Baptist","A",80,94,78.4875,"L"
"29","03/04/2017","A&M-Corpus Chris","Incarnate Word","H",81,64,68.4625,"W"
"30","03/10/2017","A&M-Corpus Chris","SFA","N",77,69,67.725,"W"
"31","03/11/2017","A&M-Corpus Chris","New Orleans","N",65,68,66.425,"L"
"32","03/15/2017","A&M-Corpus Chris","Georgia St.","H",80,64,76.6875,"W"
"33","03/20/2017","A&M-Corpus Chris","Weber St.","H",82,73,70.7,"W"
"34","03/26/2017","A&M-Corpus Chris","Fort Wayne","H",78,62,72.45,"W"
"35","03/29/2017","A&M-Corpus Chris","UMBC","A",79,61,76.475,"W"
"36","03/31/2017","A&M-Corpus Chris","Saint Peter's","H",61,62,62.575,"L"
"210","11/17/2016","Abilene Christian","New Hampshire","A",65,57,71.925,"W"
"37","11/22/2016","Abilene Christian","Charleston So.","H",65,66,64.075,"L"
"4","11/25/2016","Abilene Christian","Oklahoma","A",64,72,78.4375,"L"
"61","11/30/2016","Abilene Christian","New Mexico","A",55,64,59.8125,"L"
"71","12/03/2016","Abilene Christian","Charleston So.","A",85,82,71.0875,"W"
"10","12/17/2016","Abilene Christian","Sacramento St.","A",86,88,81.3125,"L"
"111","12/19/2016","Abilene Christian","San Francisco","A",51,86,75.5375,"L"
"121","12/29/2016","Abilene Christian","New Orleans","A",66,75,65.775,"L"
"131","12/31/2016","Abilene Christian","Southeastern La.","A",53,75,62.9125,"L"
