"","Date","Team","Opponent","Location","TeamScore","OppScore","POSS","Result"
"1","11/12/2013","A&M-Corpus Chris","Iowa St.","A",50,80,66.3375,"L"
"2","11/15/2013","A&M-Corpus Chris","Fort Wayne","H",72,71,62.95,"W"
"3","11/16/2013","A&M-Corpus Chris","Tennessee Tech","H",60,62,58.5625,"L"
"4","11/17/2013","A&M-Corpus Chris","UTRGV","H",72,61,61.95,"W"
"5","11/20/2013","A&M-Corpus Chris","Rice","H",61,63,59.6875,"L"
"6","11/23/2013","A&M-Corpus Chris","UTSA","A",76,87,67.9625,"L"
"7","11/26/2013","A&M-Corpus Chris","Central Mich.","H",64,68,56.1875,"L"
"8","11/30/2013","A&M-Corpus Chris","Houston","A",67,78,63.1375,"L"
"9","12/05/2013","A&M-Corpus Chris","Oklahoma","A",56,78,66.6,"L"
"10","12/20/2013","A&M-Corpus Chris","CSUN","H",66,67,60,"L"
"11","12/28/2013","A&M-Corpus Chris","Minnesota","A",44,65,65.025,"L"
"12","01/02/2014","A&M-Corpus Chris","Central Ark.","A",81,66,78.0125,"W"
"13","01/04/2014","A&M-Corpus Chris","Oral Roberts","A",71,64,61.6125,"W"
"14","01/09/2014","A&M-Corpus Chris","Northwestern St.","H",101,87,77.7,"W"
"15","01/11/2014","A&M-Corpus Chris","SFA","H",70,80,61.0375,"L"
"16","01/16/2014","A&M-Corpus Chris","McNeese","A",77,61,56.2875,"W"
"17","01/18/2014","A&M-Corpus Chris","Nicholls St.","A",70,67,62.2625,"W"
"18","01/23/2014","A&M-Corpus Chris","Southeastern La.","H",74,71,57.375,"W"
"19","01/25/2014","A&M-Corpus Chris","New Orleans","H",62,70,78.7625,"L"
"20","01/30/2014","A&M-Corpus Chris","Sam Houston St.","A",74,78,67.4875,"L"
"21","02/01/2014","A&M-Corpus Chris","Lamar University","A",58,35,53.225,"W"
"22","02/06/2014","A&M-Corpus Chris","Incarnate Word","A",78,82,69.525,"L"
"23","02/08/2014","A&M-Corpus Chris","Abilene Christian","A",71,69,62.925,"W"
"24","02/13/2014","A&M-Corpus Chris","Central Ark.","H",84,73,66.425,"W"
"25","02/15/2014","A&M-Corpus Chris","Oral Roberts","H",74,72,63.1625,"W"
"26","02/22/2014","A&M-Corpus Chris","Houston Baptist","A",66,61,69.8625,"W"
"27","03/01/2014","A&M-Corpus Chris","Houston Baptist","H",65,45,66.6125,"W"
"28","03/06/2014","A&M-Corpus Chris","McNeese","H",67,51,62.7125,"W"
"29","03/08/2014","A&M-Corpus Chris","Nicholls St.","H",58,44,52.225,"W"
"30","03/14/2014","A&M-Corpus Chris","Sam Houston St.","N",63,69,57.225,"L"
"31","03/19/2014","A&M-Corpus Chris","Northern Colo.","A",82,71,59.45,"W"
"32","03/22/2014","A&M-Corpus Chris","Pacific","A",60,89,62.8375,"L"
"33","11/09/2013","Abilene Christian","Duquesne","A",75,94,76.3875,"L"
"34","11/11/2013","Abilene Christian","St. Bonaventure","A",47,75,60.775,"L"
"35","11/13/2013","Abilene Christian","Maryland","A",44,67,NA,"L"
"36","11/17/2013","Abilene Christian","Iowa","A",41,103,70.075,"L"
"37","11/19/2013","Abilene Christian","TCU","A",64,71,63.725,"L"
"38","11/25/2013","Abilene Christian","Xavier","A",65,93,66.875,"L"
"39","11/30/2013","Abilene Christian","Towson","A",47,74,59.3875,"L"
"40","01/09/2014","Abilene Christian","New Orleans","A",81,87,77.625,"L"
"41","01/11/2014","Abilene Christian","Southeastern La.","A",77,85,82.9875,"L"
"42","01/16/2014","Abilene Christian","Oral Roberts","H",59,82,62.475,"L"
"43","01/18/2014","Abilene Christian","Central Ark.","H",73,72,70.45,"W"
"44","01/23/2014","Abilene Christian","Lamar University","H",57,65,68.6875,"L"
"45","01/25/2014","Abilene Christian","Sam Houston St.","H",51,70,59.1625,"L"
"46","01/30/2014","Abilene Christian","SFA","A",48,64,64.7875,"L"
"47","02/01/2014","Abilene Christian","Northwestern St.","A",66,84,68.3375,"L"
"48","02/06/2014","Abilene Christian","Houston Baptist","H",87,81,68.675,"W"
"49","02/13/2014","Abilene Christian","Incarnate Word","A",68,80,64.6875,"L"
"50","02/27/2014","Abilene Christian","Nicholls St.","A",60,79,60.875,"L"
"51","03/01/2014","Abilene Christian","McNeese","A",91,95,76.25,"L"
"52","03/08/2014","Abilene Christian","Incarnate Word","H",56,59,64.725,"L"
"53","11/08/2013","Air Force","Army West Point","N",79,68,71.2625,"W"
"54","11/09/2013","Air Force","VMI","A",63,71,72.6875,"L"
"55","11/14/2013","Air Force","Jackson St.","H",82,84,70.9125,"L"
"56","11/17/2013","Air Force","Ark.-Pine Bluff","H",67,64,62.2625,"W"
"57","11/27/2013","Air Force","Richmond","H",60,83,64.35,"L"
