"","Date","Team","Opponent","Location","TeamScore","OppScore","POSS","Result"
"1","11/19/2015","A&M-Corpus Chris","Texas A&M","A",70,95,75.925,"L"
"2","11/21/2015","A&M-Corpus Chris","Texas","A",56,67,70.3125,"L"
"3","11/26/2015","A&M-Corpus Chris","Furman","N",73,69,68.6375,"W"
"4","11/27/2015","A&M-Corpus Chris","Elon","A",85,81,70.375,"W"
"5","12/02/2015","A&M-Corpus Chris","Austin Peay","H",61,48,68.45,"W"
"6","12/05/2015","A&M-Corpus Chris","Texas St.","H",47,39,59.1875,"W"
"7","12/12/2015","A&M-Corpus Chris","UTSA","A",85,79,73.7,"W"
"8","12/15/2015","A&M-Corpus Chris","Wisconsin","A",49,64,59.7125,"L"
"9","12/20/2015","A&M-Corpus Chris","Cal Poly","H",80,74,72.225,"W"
"10","12/28/2015","A&M-Corpus Chris","Austin Peay","A",74,70,75.875,"W"
"11","01/05/2016","A&M-Corpus Chris","Central Ark.","H",94,82,75.325,"W"
"12","01/09/2016","A&M-Corpus Chris","McNeese","A",77,68,68.0125,"W"
"13","01/11/2016","A&M-Corpus Chris","Lamar University","A",91,82,75.6375,"W"
"14","01/16/2016","A&M-Corpus Chris","Nicholls St.","H",76,71,75.425,"W"
"15","01/19/2016","A&M-Corpus Chris","Northwestern St.","A",89,79,79.0875,"W"
"16","01/23/2016","A&M-Corpus Chris","New Orleans","H",97,76,74.4,"W"
"17","01/26/2016","A&M-Corpus Chris","Southeastern La.","H",73,63,73.875,"W"
"18","01/30/2016","A&M-Corpus Chris","SFA","H",61,66,60.1,"L"
"19","02/02/2016","A&M-Corpus Chris","Incarnate Word","A",65,70,69.925,"L"
"20","02/06/2016","A&M-Corpus Chris","Sam Houston St.","H",51,48,66.825,"W"
"21","02/08/2016","A&M-Corpus Chris","Houston Baptist","H",83,76,72.3,"W"
"22","02/13/2016","A&M-Corpus Chris","SFA","A",58,70,62.5,"L"
"23","02/15/2016","A&M-Corpus Chris","New Orleans","A",65,57,66.2375,"W"
"24","02/20/2016","A&M-Corpus Chris","Incarnate Word","H",90,69,67.85,"W"
"25","02/23/2016","A&M-Corpus Chris","Abilene Christian","H",65,59,63.225,"W"
"26","02/27/2016","A&M-Corpus Chris","Sam Houston St.","A",75,70,68.5,"W"
"27","03/03/2016","A&M-Corpus Chris","Houston Baptist","A",81,71,62.625,"W"
"28","03/05/2016","A&M-Corpus Chris","Abilene Christian","A",74,69,73.25,"W"
"29","03/11/2016","A&M-Corpus Chris","Sam Houston St.","N",79,76,67.6125,"W"
"30","03/12/2016","A&M-Corpus Chris","SFA","N",60,82,69.6375,"L"
"31","03/16/2016","A&M-Corpus Chris","Louisiana","A",72,96,71.7125,"L"
"32","11/22/2015","Abilene Christian","Portland","A",57,87,76.6125,"L"
"33","11/24/2015","Abilene Christian","Colorado St.","A",100,108,84.5375,"L"
"34","11/27/2015","Abilene Christian","Florida A&M","N",72,62,73.1625,"W"
"35","11/28/2015","Abilene Christian","Oakland","N",57,85,67.55,"L"
"36","12/03/2015","Abilene Christian","New Hampshire","H",75,86,72.4,"L"
"37","12/05/2015","Abilene Christian","Nebraska","A",63,73,69.0875,"L"
"38","12/18/2015","Abilene Christian","UC Riverside","H",56,60,61.3875,"L"
"39","12/20/2015","Abilene Christian","TCU","A",69,80,70.35,"L"
"40","12/22/2015","Abilene Christian","Drake","A",70,87,66.975,"L"
"41","01/02/2016","Abilene Christian","Central Ark.","A",62,61,70.2375,"W"
"42","01/09/2016","Abilene Christian","Nicholls St.","A",62,63,69.95,"L"
"43","01/12/2016","Abilene Christian","Northwestern St.","H",87,72,74.9875,"W"
"44","01/16/2016","Abilene Christian","SFA","A",62,97,63.6,"L"
"45","01/19/2016","Abilene Christian","McNeese","H",75,67,65,"W"
"46","01/23/2016","Abilene Christian","Incarnate Word","A",60,74,65.7625,"L"
"47","01/25/2016","Abilene Christian","Sam Houston St.","A",51,72,66.55,"L"
"48","01/30/2016","Abilene Christian","Lamar University","H",80,71,74.9625,"W"
"49","02/02/2016","Abilene Christian","Houston Baptist","H",79,72,72.0375,"W"
"50","02/06/2016","Abilene Christian","Southeastern La.","A",60,81,66.075,"L"
"51","02/08/2016","Abilene Christian","Lamar University","A",71,67,67.65,"W"
"52","02/15/2016","Abilene Christian","Sam Houston St.","H",71,84,66.2125,"L"
"53","02/18/2016","Abilene Christian","Houston Baptist","A",71,73,64.95,"L"
"54","02/21/2016","Abilene Christian","Southeastern La.","H",91,80,70.35,"W"
"55","02/27/2016","Abilene Christian","New Orleans","H",87,84,79.3875,"W"
"56","03/03/2016","Abilene Christian","Incarnate Word","H",70,74,71.7375,"L"
"57","11/13/2015","Air Force","Southern Ill.","A",75,77,68.9875,"L"
"58","11/16/2015","Air Force","Tennessee Tech","H",80,70,72.9625,"W"
"59","11/19/2015","Air Force","Mississippi Val.","H",65,64,70.475,"W"
"60","11/22/2015","Air Force","Robert Morris","H",64,52,68.75,"W"
"61","11/25/2015","Air Force","Colorado","A",70,81,69.2375,"L"
"62","11/28/2015","Air Force","New Mexico St.","H",66,64,71.3375,"W"
"63","12/02/2015","Air Force","The Citadel","H",97,93,82.25,"W"
"64","12/05/2015","Air Force","Denver","A",61,59,65.7875,"W"
"65","12/08/2015","Air Force","Ohio St.","A",50,74,70.8125,"L"
"66","12/12/2015","Air Force","Army West Point","H",80,90,81.625,"L"
"67","12/19/2015","Air Force","UC Davis","A",67,60,67.125,"W"
"68","01/02/2016","Air Force","San Jose St.","H",64,57,69.5875,"W"
"69","01/06/2016","Air Force","Wyoming","A",52,64,65.4625,"L"
"70","01/09/2016","Air Force","Nevada","H",63,86,75.825,"L"
"71","01/12/2016","Air Force","Utah St.","A",60,79,68.7375,"L"
"72","01/16/2016","Air Force","UNLV","A",64,100,69.025,"L"
"73","01/20/2016","Air Force","Colorado St.","H",79,83,65.375,"L"
"74","01/23/2016","Air Force","Fresno St.","H",55,56,65.65,"L"
"75","01/27/2016","Air Force","New Mexico","A",55,84,68.95,"L"
"76","01/30/2016","Air Force","San Jose St.","A",54,75,63.7625,"L"
"77","02/02/2016","Air Force","Wyoming","H",70,62,62.375,"W"
"78","02/06/2016","Air Force","Boise St.","H",61,53,67.45,"W"
"79","02/10/2016","Air Force","Nevada","A",52,72,63.3125,"L"
"80","02/13/2016","Air Force","San Diego St.","A",61,70,60.9875,"L"
"81","02/16/2016","Air Force","UNLV","H",79,74,73.6125,"W"
"82","02/20/2016","Air Force","New Mexico","H",76,72,76.6625,"W"
"83","02/24/2016","Air Force","Fresno St.","A",63,64,64.1,"L"
"84","03/01/2016","Air Force","Utah St.","H",65,78,64.5875,"L"
"85","03/05/2016","Air Force","Colorado St.","A",73,87,67.0875,"L"
"86","03/09/2016","Air Force","UNLV","A",102,108,98.2875,"L"
"87","11/14/2015","Akron","Cleveland St.","N",65,53,65.2375,"W"
"88","11/18/2015","Akron","Arkansas","A",88,80,69.0375,"W"
"89","11/22/2015","Akron","Villanova","A",56,75,66.675,"L"
"90","11/24/2015","Akron","Green Bay","A",63,66,75.5375,"L"
"91","11/27/2015","Akron","Charleston So.","H",82,58,64.9875,"W"
"92","12/02/2015","Akron","Coppin St.","H",77,71,76.1375,"W"
"93","12/04/2015","Akron","Marshall","A",75,65,74.05,"W"
"94","12/12/2015","Akron","Bethune-Cookman","H",81,60,68.125,"W"
"95","12/21/2015","Akron","UC Santa Barbara","N",84,70,71.8125,"W"
"96","12/23/2015","Akron","Iona","N",78,64,67.65,"W"
"97","12/30/2015","Akron","South Carolina St.","H",78,68,69.9,"W"
"98","01/02/2016","Akron","Lipscomb","H",80,73,73.8125,"W"
"99","01/05/2016","Akron","Buffalo","A",75,71,66.7625,"W"
