"","Date","Team","Opponent","Location","TeamScore","OppScore","POSS","Result"
"79","02/07/2015","Air Force","Wyoming","H",73,50,56.2,"W"
"80","02/11/2015","Air Force","Boise St.","A",42,67,58.175,"L"
"81","02/14/2015","Air Force","UNLV","H",76,75,63.8375,"W"
"82","02/21/2015","Air Force","Colorado St.","A",53,66,64.4625,"L"
"83","02/25/2015","Air Force","Nevada","H",75,70,65.9375,"W"
"84","02/28/2015","Air Force","Utah St.","H",60,74,64.575,"L"
"85","03/04/2015","Air Force","Fresno St.","A",66,68,66.675,"L"
"86","03/11/2015","Air Force","New Mexico","N",68,61,62.025,"W"
"87","03/12/2015","Air Force","Boise St.","N",68,80,64.2625,"L"
"88","11/14/2014","Akron","UMBC","H",74,57,65.6375,"W"
"89","11/20/2014","Akron","Southern California","N",66,46,65.3125,"W"
"90","11/21/2014","Akron","Miami (FL)","N",51,79,58.5125,"L"
"91","11/23/2014","Akron","South Carolina","N",68,63,69.6625,"W"
"92","11/25/2014","Akron","Penn St.","A",72,78,69.2125,"L"
"93","11/30/2014","Akron","Bryant","H",72,66,65.025,"W"
"94","12/02/2014","Akron","Ark.-Pine Bluff","H",81,60,70.425,"W"
"95","12/04/2014","Akron","Western Ill.","H",73,49,62.525,"W"
"96","12/13/2014","Akron","Middle Tenn.","H",61,62,59.7375,"L"
"97","12/16/2014","Akron","North Dakota St.","A",46,55,56.3375,"L"
"98","12/30/2014","Akron","Marshall","H",70,63,71.8625,"W"
"99","01/03/2015","Akron","Coppin St.","H",79,62,75.2375,"W"
"100","01/06/2015","Akron","Western Mich.","H",72,52,57.15,"W"
"101","01/09/2015","Akron","Toledo","A",67,84,66.1625,"L"
"102","01/14/2015","Akron","Bowling Green","H",67,50,62.6,"W"
"103","01/17/2015","Akron","Central Mich.","H",82,76,72.725,"W"
"104","01/21/2015","Akron","Northern Ill.","A",61,64,63.7375,"L"
"105","01/24/2015","Akron","Western Mich.","A",71,69,70.1875,"W"
"106","01/27/2015","Akron","Ball St.","H",59,47,60.225,"W"
"107","01/31/2015","Akron","Bowling Green","A",69,68,70.375,"W"
"108","02/04/2015","Akron","Ohio","A",82,83,66.625,"L"
"109","02/07/2015","Akron","Buffalo","H",75,72,65.5,"W"
"110","02/10/2015","Akron","Kent St.","H",61,52,59.1,"W"
"111","02/14/2015","Akron","Eastern Mich.","A",75,78,75.6375,"L"
"112","02/18/2015","Akron","Toledo","H",66,68,66.1,"L"
"113","02/21/2015","Akron","Miami (OH)","H",52,57,68.3875,"L"
"114","02/24/2015","Akron","Buffalo","A",62,67,61.975,"L"
"115","02/27/2015","Akron","Ohio","H",70,58,60.5,"W"
"116","03/03/2015","Akron","Miami (OH)","A",63,70,64.1625,"L"
"117","03/06/2015","Akron","Kent St.","A",77,79,61.6375,"L"
"118","03/09/2015","Akron","Northern Ill.","H",76,52,61.3625,"W"
"119","03/11/2015","Akron","Western Mich.","N",58,45,58,"W"
"120","03/12/2015","Akron","Kent St.","N",53,51,54.7375,"W"
"121","03/13/2015","Akron","Buffalo","N",59,68,68.1125,"L"
"122","11/14/2014","Alabama","Towson","H",82,54,65.575,"W"
"123","11/17/2014","Alabama","Western Caro.","H",80,74,69.7,"W"
"124","11/20/2014","Alabama","Southern Miss.","H",81,67,64.95,"W"
"125","11/24/2014","Alabama","Iowa St.","N",74,84,74.575,"L"
"126","11/25/2014","Alabama","Arizona St.","N",76,71,66.5875,"W"
"127","12/02/2014","Alabama","South Fla.","H",82,71,75.95,"W"
