"","Date","Team","Opponent","Location","Result","TeamScore","OppScore"
"4",2016-11-11,"A&M-Corpus Chris","Our Lady Of The Lake","H","W",115,100
"5",2016-11-16,"A&M-Corpus Chris","UTRGV","A","W",94,72
"6",2016-11-21,"A&M-Corpus Chris","Texas St.","A","W",73,69
"7",2016-11-23,"A&M-Corpus Chris","Jarvis Christian","H","W",84,61
"8",2016-11-29,"A&M-Corpus Chris","UTRGV","H","W",84,68
"9",2016-12-03,"A&M-Corpus Chris","Cal Poly","A","L",70,82
"10",2016-12-05,"A&M-Corpus Chris","Texas A&M","A","L",69,86
"11",2016-12-09,"A&M-Corpus Chris","St. Mary's (TX)","H","W",77,67
"12",2016-12-18,"A&M-Corpus Chris","UTSA","H","W",73,69
"13",2016-12-20,"A&M-Corpus Chris","St. Mary's (CA)","A","L",46,67
"14",2016-12-22,"A&M-Corpus Chris","Oklahoma St.","A","L",70,92
"15",2016-12-31,"A&M-Corpus Chris","New Orleans","A","L",72,73
"16",2017-01-02,"A&M-Corpus Chris","Nicholls St.","A","L",64,68
"17",2017-01-07,"A&M-Corpus Chris","Northwestern St.","H","W",99,82
"18",2017-01-11,"A&M-Corpus Chris","SFA","A","L",46,79
"19",2017-01-14,"A&M-Corpus Chris","Central Ark.","H","W",88,81
"20",2017-01-19,"A&M-Corpus Chris","SFA","H","L",58,61
"21",2017-01-21,"A&M-Corpus Chris","Sam Houston St.","A","L",62,76
"22",2017-01-25,"A&M-Corpus Chris","Lamar University","A","W",69,66
"23",2017-01-28,"A&M-Corpus Chris","Abilene Christian","H","W",72,60
"24",2017-02-01,"A&M-Corpus Chris","Houston Baptist","H","W",90,79
"25",2017-02-08,"A&M-Corpus Chris","Southeastern La.","H","W",80,75
"26",2017-02-11,"A&M-Corpus Chris","McNeese","A","W",73,66
"27",2017-02-15,"A&M-Corpus Chris","Incarnate Word","A","W",97,81
"28",2017-02-18,"A&M-Corpus Chris","Lamar University","H","W",70,63
"29",2017-02-22,"A&M-Corpus Chris","Abilene Christian","A","-",NA,NA
"30",2017-02-25,"A&M-Corpus Chris","McNeese","H","-",NA,NA
"31",2017-03-01,"A&M-Corpus Chris","Houston Baptist","A","-",NA,NA
"32",2017-03-04,"A&M-Corpus Chris","Incarnate Word","H","-",NA,NA
"33",2016-11-11,"Abilene Christian","Schreiner","H","W",73,59
"34",2016-11-17,"Abilene Christian","New Hampshire","A","W",65,57
"35",2016-11-22,"Abilene Christian","Charleston So.","H","L",65,66
"36",2016-11-25,"Abilene Christian","Oklahoma","A","L",64,72
"37",2016-11-27,"Abilene Christian","Howard Payne","H","W",71,55
"38",2016-11-30,"Abilene Christian","New Mexico","A","L",55,64
"39",2016-12-03,"Abilene Christian","Charleston So.","A","W",85,82
"40",2016-12-10,"Abilene Christian","Northern N.M.","H","W",90,69
"41",2016-12-14,"Abilene Christian","Randall","H","W",78,74
"42",2016-12-17,"Abilene Christian","Sacramento St.","A","L",86,88
"43",2016-12-19,"Abilene Christian","San Francisco","A","L",51,86
"44",2016-12-29,"Abilene Christian","New Orleans","A","L",66,75
"45",2016-12-31,"Abilene Christian","Southeastern La.","A","L",53,75
"46",2017-01-05,"Abilene Christian","Central Ark.","H","L",76,81
"47",2017-01-07,"Abilene Christian","SFA","H","W",69,60
"48",2017-01-12,"Abilene Christian","Southeastern La.","H","L",50,56
"49",2017-01-14,"Abilene Christian","Lamar University","H","W",67,64
"50",2017-01-19,"Abilene Christian","Nicholls St.","A","L",59,62
"51",2017-01-26,"Abilene Christian","Incarnate Word","A","L",79,82
"52",2017-01-28,"Abilene Christian","A&M-Corpus Chris","A","L",60,72
"53",2017-02-01,"Abilene Christian","New Orleans","H","W",70,69
"54",2017-02-04,"Abilene Christian","Sam Houston St.","H","W",71,64
"55",2017-02-09,"Abilene Christian","Central Ark.","A","L",73,84
"56",2017-02-11,"Abilene Christian","Northwestern St.","H","W",76,72
"57",2017-02-16,"Abilene Christian","McNeese","A","W",82,78
"58",2017-02-22,"Abilene Christian","A&M-Corpus Chris","H","-",NA,NA
"59",2017-02-25,"Abilene Christian","Sam Houston St.","A","-",NA,NA
"60",2017-03-01,"Abilene Christian","Incarnate Word","H","-",NA,NA
"61",2017-03-04,"Abilene Christian","Houston Baptist","A","-",NA,NA
"62",2016-11-11,"Air Force","McPherson","H","W",88,71
"63",2016-11-14,"Air Force","Jacksonville","H","W",86,68
"64",2016-11-15,"Air Force","Johnson & Wales (CO)","H","W",105,62
"65",2016-11-20,"Air Force","Florida A&M","H","W",87,62
"66",2016-11-22,"Air Force","Stetson","H","W",85,72
"67",2016-11-25,"Air Force","Akron","N","L",75,84
"68",2016-11-26,"Air Force","East Carolina","N","L",63,70
"69",2016-11-30,"Air Force","New Mexico St.","A","L",70,78
"70",2016-12-03,"Air Force","Missouri St.","H","W",83,70
"71",2016-12-07,"Air Force","Army West Point","A","L",71,79
"72",2016-12-10,"Air Force","Denver","H","L",65,77
"73",2016-12-19,"Air Force","Colorado","H","L",68,75
"74",2016-12-22,"Air Force","UC Davis","H","W",77,67
"75",2016-12-28,"Air Force","Wyoming","A","L",72,84
"76",2016-12-31,"Air Force","Utah St.","H","W",78,73
"77",2017-01-07,"Air Force","Colorado St.","A","L",58,85
"78",2017-01-11,"Air Force","Fresno St.","H","W",81,72
"79",2017-01-14,"Air Force","San Jose St.","H","L",85,89
"80",2017-01-18,"Air Force","Nevada","A","L",76,83
"81",2017-01-21,"Air Force","UNLV","A","L",85,87
"82",2017-01-24,"Air Force","San Diego St.","H","W",60,57
"83",2017-02-01,"Air Force","Fresno St.","A","L",64,73
"84",2017-02-04,"Air Force","Wyoming","H","L",74,83
"85",2017-02-08,"Air Force","New Mexico","H","L",67,74
"86",2017-02-11,"Air Force","Boise St.","A","L",66,76
"87",2017-02-15,"Air Force","Nevada","H","L",59,78
"88",2017-02-18,"Air Force","San Jose St.","A","L",78,83
"89",2017-02-22,"Air Force","UNLV","H","-",NA,NA
"90",2017-02-25,"Air Force","Utah St.","A","-",NA,NA
"91",2017-03-01,"Air Force","San Diego St.","A","-",NA,NA
"92",2017-03-04,"Air Force","Boise St.","H","-",NA,NA
"93",2016-11-12,"Akron","Youngstown St.","A","L",82,90
"94",2016-11-17,"Akron","American","H","W",72,62
"95",2016-11-20,"Akron","Radford","H","W",88,41
"96",2016-11-22,"Akron","Ga. Southern","H","W",75,67
"97",2016-11-25,"Akron","Air Force","N","W",84,75
"98",2016-11-26,"Akron","Mercer","N","W",65,63
"99",2016-11-30,"Akron","Adrian","H","W",95,41
"100",2016-12-03,"Akron","Creighton","A","L",70,82
"101",2016-12-07,"Akron","Coppin St.","H","W",87,63
"102",2016-12-10,"Akron","Gonzaga","A","L",43,61
"103",2016-12-17,"Akron","Marshall","H","W",99,88
"104",2016-12-21,"Akron","UC Irvine","N","W",88,80
"105",2016-12-22,"Akron","UMES","N","W",76,60
"106",2017-01-03,"Akron","Bowling Green","H","W",89,84
"107",2017-01-06,"Akron","Western Mich.","H","W",66,59
"108",2017-01-10,"Akron","Central Mich.","A","W",89,85
"109",2017-01-14,"Akron","Miami (OH)","A","W",74,70
"110",2017-01-17,"Akron","Ohio","H","W",83,68
"111",2017-01-20,"Akron","Eastern Mich.","H","W",70,63
"112",2017-01-24,"Akron","Western Mich.","A","W",90,80
"113",2017-01-28,"Akron","Buffalo","H","W",91,90
"114",2017-01-31,"Akron","Northern Ill.","A","W",76,73
"115",2017-02-04,"Akron","Ohio","A","L",70,85
"116",2017-02-07,"Akron","Ball St.","H","W",65,63
"117",2017-02-10,"Akron","Eastern Mich.","A","W",87,76
"118",2017-02-14,"Akron","Toledo","H","W",71,65
"119",2017-02-17,"Akron","Kent St.","H","L",67,70
"120",2017-02-21,"Akron","Bowling Green","A","-",NA,NA
"121",2017-02-25,"Akron","Buffalo","A","-",NA,NA
"122",2017-02-28,"Akron","Miami (OH)","H","-",NA,NA
"123",2017-03-03,"Akron","Kent St.","A","-",NA,NA
"124",2016-11-11,"Alabama","Coastal Caro.","H","W",70,53
"125",2016-11-15,"Alabama","Dayton","H","L",72,77
"126",2016-11-18,"Alabama","Ball St.","H","W",77,59
"127",2016-11-21,"Alabama","Valparaiso","N","L",60,68
"128",2016-11-23,"Alabama","Saint Louis","N","W",62,57
"129",2016-11-29,"Alabama","Charleston So.","H","W",76,46
"130",2016-12-02,"Alabama","Texas","A","L",68,77
"131",2016-12-11,"Alabama","Oregon","A","L",56,65
"132",2016-12-15,"Alabama","USC Upstate","H","W",78,61
"133",2016-12-18,"Alabama","Clemson","H","L",54,67
"134",2016-12-21,"Alabama","Arkansas St.","N","W",67,52
"135",2016-12-29,"Alabama","Stetson","H","W",83,60
"136",2017-01-03,"Alabama","Mississippi St.","A","W",68,58
"137",2017-01-07,"Alabama","Vanderbilt","H","W",59,56
"138",2017-01-10,"Alabama","Florida","H","L",67,80
"139",2017-01-14,"Alabama","LSU","A","W",81,66
"140",2017-01-18,"Alabama","Missouri","H","W",68,56
"141",2017-01-21,"Alabama","Auburn","A","L",64,84
"142",2017-01-25,"Alabama","Georgia","A","W",80,60
"143",2017-01-28,"Alabama","Mississippi St.","H","W",71,62
"144",2017-02-01,"Alabama","Arkansas","A","L",68,87
"145",2017-02-04,"Alabama","Auburn","H","L",77,82
"146",2017-02-07,"Alabama","South Carolina","A","W",90,86
"147",2017-02-11,"Alabama","Kentucky","H","L",58,67
"148",2017-02-15,"Alabama","Missouri","A","W",57,54
"149",2017-02-18,"Alabama","LSU","H","W",90,72
"150",2017-02-23,"Alabama","Georgia","H","-",NA,NA
"151",2017-02-25,"Alabama","Texas A&M","A","-",NA,NA
"152",2017-03-01,"Alabama","Ole Miss","H","-",NA,NA
"153",2017-03-04,"Alabama","Tennessee","A","-",NA,NA
"154",2016-11-11,"Alabama A&M","Missouri St.","A","L",62,96
"155",2016-11-13,"Alabama A&M","Missouri","A","L",44,99
"156",2016-11-17,"Alabama A&M","Tennessee Tech","A","L",61,95
"157",2016-11-21,"Alabama A&M","Southern Miss.","A","L",55,63
"158",2016-11-26,"Alabama A&M","Murray St.","A","L",54,91
"159",2016-11-29,"Alabama A&M","UAB","A","L",45,75
"160",2016-12-03,"Alabama A&M","Tennessee Tech","H","L",74,79
"161",2016-12-10,"Alabama A&M","Troy","A","L",59,88
"162",2016-12-14,"Alabama A&M","Georgia St.","A","L",79,94
"163",2016-12-22,"Alabama A&M","Bowling Green","A","L",61,74
"164",2016-12-29,"Alabama A&M","Western Mich.","A","L",50,80
"165",2017-01-02,"Alabama A&M","Jackson St.","H","L",51,63
"166",2017-01-04,"Alabama A&M","Grambling","H","L",67,69
"167",2017-01-07,"Alabama A&M","Mississippi Val.","A","W",79,76
"168",2017-01-09,"Alabama A&M","Ark.-Pine Bluff","A","L",65,81
"169",2017-01-14,"Alabama A&M","Alabama St.","H","L",55,57
"170",2017-01-21,"Alabama A&M","Southern U.","H","L",52,53
"171",2017-01-23,"Alabama A&M","Alcorn","H","L",70,81
"172",2017-01-28,"Alabama A&M","Prairie View","A","L",65,70
"173",2017-01-30,"Alabama A&M","Texas Southern","A","L",47,92
"174",2017-02-04,"Alabama A&M","Mississippi Val.","H","L",66,68
"175",2017-02-06,"Alabama A&M","Ark.-Pine Bluff","H","L",49,65
"176",2017-02-11,"Alabama A&M","Alabama St.","A","L",89,97
"177",2017-02-18,"Alabama A&M","Southern U.","A","L",64,77
"178",2017-02-20,"Alabama A&M","Alcorn","A","-",NA,NA
"179",2017-02-25,"Alabama A&M","Prairie View","H","-",NA,NA
"180",2017-02-27,"Alabama A&M","Texas Southern","H","-",NA,NA
"181",2017-03-02,"Alabama A&M","Jackson St.","A","-",NA,NA
"182",2017-03-04,"Alabama A&M","Grambling","A","-",NA,NA
"183",2016-11-12,"Alabama St.","Western Ky.","A","L",66,79
"184",2016-11-14,"Alabama St.","TCU","A","L",62,98
"185",2016-11-16,"Alabama St.","Louisiana Tech","A","L",56,87
"186",2016-11-22,"Alabama St.","Kennesaw St.","A","L",72,79
"187",2016-11-25,"Alabama St.","Northern Ariz.","N","L",57,71
"188",2016-11-26,"Alabama St.","Cal St. Fullerton","N","W",76,67
"189",2016-11-29,"Alabama St.","Jacksonville St.","H","L",69,72
"190",2016-12-04,"Alabama St.","Troy","A","L",65,83
"191",2016-12-12,"Alabama St.","San Diego St.","A","L",41,73
"192",2016-12-14,"Alabama St.","Tennessee St.","A","L",46,68
"193",2016-12-22,"Alabama St.","Ball St.","A","L",48,73
"194",2016-12-29,"Alabama St.","Fort Valley St.","H","W",75,68
"195",2017-01-02,"Alabama St.","Grambling","H","W",73,69
"196",2017-01-04,"Alabama St.","Jackson St.","H","L",60,63
"197",2017-01-07,"Alabama St.","Ark.-Pine Bluff","A","L",63,71
"198",2017-01-09,"Alabama St.","Mississippi Val.","A","L",70,73
"199",2017-01-14,"Alabama St.","Alabama A&M","A","W",57,55
"200",2017-01-21,"Alabama St.","Alcorn","H","L",71,78
"201",2017-01-23,"Alabama St.","Southern U.","H","W",79,65
"202",2017-01-28,"Alabama St.","Texas Southern","A","L",68,70
"203",2017-01-30,"Alabama St.","Prairie View","A","L",52,72
"204",2017-02-04,"Alabama St.","Ark.-Pine Bluff","H","W",77,65
"205",2017-02-06,"Alabama St.","Mississippi Val.","H","W",71,66
"206",2017-02-11,"Alabama St.","Alabama A&M","H","W",97,89
"207",2017-02-18,"Alabama St.","Alcorn","A","L",67,75
"208",2017-02-20,"Alabama St.","Southern U.","A","-",NA,NA
"209",2017-02-25,"Alabama St.","Texas Southern","H","-",NA,NA
"210",2017-02-27,"Alabama St.","Prairie View","H","-",NA,NA
"211",2017-03-02,"Alabama St.","Grambling","A","-",NA,NA
"212",2017-03-04,"Alabama St.","Jackson St.","A","-",NA,NA
"213",2016-11-11,"Albany (NY)","Penn St.","A","W",87,81
"214",2016-11-14,"Albany (NY)","Cincinnati","A","L",51,74
"215",2016-11-16,"Albany (NY)","SUNY Oneonta","H","W",97,56
"216",2016-11-19,"Albany (NY)","Grand Canyon","N","L",77,82
"217",2016-11-20,"Albany (NY)","Brown","N","W",80,76
"218",2016-11-27,"Albany (NY)","Siena","H","W",81,72
"219",2016-11-30,"Albany (NY)","Holy Cross","H","L",49,55
"220",2016-12-03,"Albany (NY)","Yale","A","L",55,59
"221",2016-12-07,"Albany (NY)","Marist","H","W",78,66
"222",2016-12-10,"Albany (NY)","Colgate","A","W",74,66
"223",2016-12-12,"Albany (NY)","Canisius","A","L",64,77
"224",2016-12-17,"Albany (NY)","St. Francis Brooklyn","H","W",87,60
"225",2016-12-20,"Albany (NY)","SMU","A","L",53,71
"226",2016-12-30,"Albany (NY)","Columbia","A","W",70,67
"227",2017-01-02,"Albany (NY)","Cornell","H","W",69,59
"228",2017-01-05,"Albany (NY)","UMass Lowell","A","L",79,85
"229",2017-01-08,"Albany (NY)","Stony Brook","A","L",70,72
"230",2017-01-11,"Albany (NY)","New Hampshire","H","L",67,75
"231",2017-01-16,"Albany (NY)","UMBC","A","W",77,50
"232",2017-01-19,"Albany (NY)","Binghamton","H","W",84,65
"233",2017-01-22,"Albany (NY)","Maine","H","W",81,63
"234",2017-01-25,"Albany (NY)","Vermont","H","L",49,60
"235",2017-01-28,"Albany (NY)","Hartford","A","W",74,61
"236",2017-02-01,"Albany (NY)","UMass Lowell","H","W",90,77
"237",2017-02-04,"Albany (NY)","Stony Brook","H","L",65,72
"238",2017-02-06,"Albany (NY)","New Hampshire","A","W",69,55
"239",2017-02-09,"Albany (NY)","Binghamton","A","W",66,54
"240",2017-02-15,"Albany (NY)","UMBC","H","W",78,69
"241",2017-02-19,"Albany (NY)","Maine","A","W",74,56
"242",2017-02-22,"Albany (NY)","Vermont","A","-",NA,NA
"243",2017-02-25,"Albany (NY)","Hartford","H","-",NA,NA
"244",2016-11-11,"Alcorn","Loyola Chicago","A","L",44,69
"245",2016-11-14,"Alcorn","Evansville","A","L",59,82
"246",2016-11-18,"Alcorn","Selma","H","W",93,48
"247",2016-11-22,"Alcorn","Blue Mountain","H","W",83,57
"248",2016-11-27,"Alcorn","Colorado St.","A","L",58,80
"249",2016-11-30,"Alcorn","San Francisco","A","L",65,78
"250",2016-12-03,"Alcorn","California","A","L",59,83
"251",2016-12-05,"Alcorn","Louisiana Tech","A","L",65,98
"252",2016-12-18,"Alcorn","Georgia Tech","A","L",50,74
"253",2016-12-20,"Alcorn","Grand Canyon","A","L",53,63
"254",2016-12-22,"Alcorn","Rust","H","W",83,68
"255",2017-01-02,"Alcorn","Texas Southern","H","L",65,67
"256",2017-01-04,"Alcorn","Prairie View","H","W",66,55
"257",2017-01-09,"Alcorn","Grambling","A","L",62,67
"258",2017-01-11,"Alcorn","Jackson St.","A","W",63,50
"259",2017-01-14,"Alcorn","Mississippi Val.","H","L",77,84
"260",2017-01-16,"Alcorn","Ark.-Pine Bluff","H","W",82,64
"261",2017-01-21,"Alcorn","Alabama St.","A","W",78,71
"262",2017-01-23,"Alcorn","Alabama A&M","A","W",81,70
"263",2017-01-28,"Alcorn","Southern U.","H","W",74,64
"264",2017-02-04,"Alcorn","Jackson St.","H","W",69,58
"265",2017-02-06,"Alcorn","Grambling","H","W",75,65
"266",2017-02-11,"Alcorn","Mississippi Val.","A","W",88,77
"267",2017-02-13,"Alcorn","Ark.-Pine Bluff","A","W",70,58
"268",2017-02-18,"Alcorn","Alabama St.","H","W",75,67
"269",2017-02-20,"Alcorn","Alabama A&M","H","-",NA,NA
"270",2017-02-25,"Alcorn","Southern U.","A","-",NA,NA
"271",2017-03-02,"Alcorn","Texas Southern","A","-",NA,NA
"272",2017-03-04,"Alcorn","Prairie View","A","-",NA,NA
"273",2016-11-11,"American","Maryland","A","L",56,62
"274",2016-11-14,"American","Texas A&M","A","L",53,76
"275",2016-11-17,"American","Akron","A","L",62,72
"276",2016-11-22,"American","Wagner","H","L",65,73
"277",2016-11-26,"American","Saint Francis (PA)","H","L",62,69
"278",2016-11-29,"American","Western Ill.","H","W",57,50
"279",2016-12-03,"American","Howard","A","L",54,71
"280",2016-12-06,"American","New Hampshire","H","L",70,80
"281",2016-12-10,"American","Youngstown St.","H","W",77,62
"282",2016-12-19,"American","UMES","H","W",61,58
"283",2016-12-21,"American","Villanova","A","L",48,90
"284",2016-12-30,"American","Loyola Maryland","H","L",66,68
"285",2017-01-02,"American","Colgate","A","W",67,64
"286",2017-01-05,"American","Bucknell","H","L",60,69
"287",2017-01-08,"American","Lehigh","A","L",73,79
"288",2017-01-11,"American","Boston U.","A","L",66,76
"289",2017-01-14,"American","Army West Point","H","L",49,53
"290",2017-01-18,"American","Lafayette","H","W",71,57
"291",2017-01-23,"American","Holy Cross","A","L",55,63
"292",2017-01-25,"American","Navy","H","L",53,71
"293",2017-01-29,"American","Colgate","H","L",65,70
"294",2017-02-01,"American","Bucknell","A","L",60,80
"295",2017-02-04,"American","Lehigh","H","L",55,70
"296",2017-02-08,"American","Boston U.","H","L",64,67
"297",2017-02-11,"American","Army West Point","A","W",61,58
"298",2017-02-15,"American","Lafayette","A","L",65,78
"299",2017-02-19,"American","Holy Cross","H","-",NA,NA
"300",2017-02-22,"American","Navy","A","-",NA,NA
"301",2017-02-25,"American","Loyola Maryland","A","-",NA,NA
"302",2016-11-12,"Appalachian St.","Davidson","A","L",74,86
"303",2016-11-15,"Appalachian St.","Tennessee","A","L",94,103
"304",2016-11-17,"Appalachian St.","Warren Wilson","H","W",119,51
"305",2016-11-23,"Appalachian St.","Hartford","A","W",70,61
"306",2016-11-26,"Appalachian St.","Duke","A","L",58,93
"307",2016-11-28,"Appalachian St.","Charlotte","A","L",72,80
"308",2016-12-03,"Appalachian St.","Western Caro.","H","L",53,58
"309",2016-12-11,"Appalachian St.","Montreat","H","W",116,57
"310",2016-12-15,"Appalachian St.","North Carolina St.","A","L",64,97
"311",2016-12-17,"Appalachian St.","James Madison","H","W",73,61
"312",2016-12-21,"Appalachian St.","Hampton","H","W",88,67
"313",2016-12-31,"Appalachian St.","Texas St.","A","L",58,67
"314",2017-01-02,"Appalachian St.","UT Arlington","A","L",69,84
"315",2017-01-07,"Appalachian St.","Little Rock","H","L",68,76
"316",2017-01-09,"Appalachian St.","Arkansas St.","H","W",70,57
"317",2017-01-14,"Appalachian St.","Coastal Caro.","A","L",73,85
"318",2017-01-21,"Appalachian St.","Ga. Southern","A","L",88,92
"319",2017-01-23,"Appalachian St.","Georgia St.","A","L",72,83
"320",2017-01-28,"Appalachian St.","UT Arlington","H","L",67,83
"321",2017-01-30,"Appalachian St.","Texas St.","H","L",55,68
"322",2017-02-04,"Appalachian St.","Arkansas St.","A","L",78,79
"323",2017-02-06,"Appalachian St.","Little Rock","A","L",62,69
"324",2017-02-11,"Appalachian St.","Georgia St.","H","W",77,72
"325",2017-02-13,"Appalachian St.","Ga. Southern","H","W",83,78
"326",2017-02-18,"Appalachian St.","South Ala.","A","L",74,87
"327",2017-02-20,"Appalachian St.","Troy","A","-",NA,NA
"328",2017-02-25,"Appalachian St.","La.-Monroe","H","-",NA,NA
"329",2017-02-27,"Appalachian St.","Louisiana","H","-",NA,NA
"330",2017-03-05,"Appalachian St.","Coastal Caro.","H","-",NA,NA
"331",2016-11-11,"Arizona","Michigan St.","N","W",65,63
"332",2016-11-15,"Arizona","CSU Bakersfield","H","W",78,66
"333",2016-11-18,"Arizona","Sacred Heart","H","W",95,65
"334",2016-11-21,"Arizona","Northern Colo.","H","W",71,55
"335",2016-11-24,"Arizona","Santa Clara","N","W",69,61
"336",2016-11-25,"Arizona","Butler","N","L",65,69
"337",2016-11-30,"Arizona","Texas Southern","H","W",85,63
"338",2016-12-03,"Arizona","Gonzaga","N","L",62,69
"339",2016-12-06,"Arizona","UC Irvine","H","W",79,57
"340",2016-12-10,"Arizona","Missouri","A","W",79,60
"341",2016-12-14,"Arizona","Grand Canyon","H","W",64,54
"342",2016-12-17,"Arizona","Texas A&M","N","W",67,63
"343",2016-12-20,"Arizona","New Mexico","H","W",77,46
"344",2016-12-30,"Arizona","California","A","W",67,62
"345",2017-01-01,"Arizona","Stanford","A","W",91,52
"346",2017-01-05,"Arizona","Utah","H","W",66,56
"347",2017-01-07,"Arizona","Colorado","H","W",82,73
"348",2017-01-12,"Arizona","Arizona St.","H","W",91,75
"349",2017-01-19,"Arizona","Southern California","A","W",73,66
"350",2017-01-21,"Arizona","UCLA","A","W",96,85
"351",2017-01-26,"Arizona","Washington St.","H","W",79,62
"352",2017-01-29,"Arizona","Washington","H","W",77,66
"353",2017-02-02,"Arizona","Oregon St.","A","W",71,54
"354",2017-02-04,"Arizona","Oregon","A","L",58,85
"355",2017-02-08,"Arizona","Stanford","H","W",74,67
"356",2017-02-11,"Arizona","California","H","W",62,57
"357",2017-02-16,"Arizona","Washington St.","A","W",78,59
"358",2017-02-18,"Arizona","Washington","A","W",76,68
"359",2017-02-23,"Arizona","Southern California","H","-",NA,NA
"360",2017-02-25,"Arizona","UCLA","H","-",NA,NA
"361",2017-03-04,"Arizona","Arizona St.","A","-",NA,NA
"362",2016-11-11,"Arizona St.","Portland St.","H","W",88,70
"363",2016-11-13,"Arizona St.","Cal Poly","H","W",96,74
"364",2016-11-17,"Arizona St.","UNI","N","L",63,82
"365",2016-11-18,"Arizona St.","Tulane","N","W",80,71
"366",2016-11-20,"Arizona St.","Davidson","N","L",60,68
"367",2016-11-23,"Arizona St.","The Citadel","H","W",127,110
"368",2016-11-28,"Arizona St.","Kentucky","N","L",69,115
"369",2016-12-03,"Arizona St.","UNLV","H","W",97,73
"370",2016-12-06,"Arizona St.","Purdue","N","L",64,97
"371",2016-12-10,"Arizona St.","San Diego St.","A","W",74,63
"372",2016-12-17,"Arizona St.","New Mexico St.","H","L",70,81
"373",2016-12-20,"Arizona St.","Creighton","H","L",85,96
"374",2016-12-22,"Arizona St.","Central Ark.","H","W",98,62
"375",2016-12-30,"Arizona St.","Stanford","A","W",98,93
"376",2017-01-01,"Arizona St.","California","A","L",65,81
"377",2017-01-05,"Arizona St.","Colorado","H","W",78,77
"378",2017-01-07,"Arizona St.","Utah","H","L",82,88
"379",2017-01-12,"Arizona St.","Arizona","A","L",75,91
"380",2017-01-19,"Arizona St.","UCLA","A","L",80,102
"381",2017-01-22,"Arizona St.","Southern California","A","L",79,82
"382",2017-01-25,"Arizona St.","Washington","H","W",86,75
"383",2017-01-29,"Arizona St.","Washington St.","H","L",83,91
"384",2017-02-02,"Arizona St.","Oregon","A","L",70,71
"385",2017-02-04,"Arizona St.","Oregon St.","A","W",81,68
"386",2017-02-08,"Arizona St.","California","H","L",43,68
"387",2017-02-11,"Arizona St.","Stanford","H","W",75,69
"388",2017-02-16,"Arizona St.","Washington","A","W",83,81
"389",2017-02-18,"Arizona St.","Washington St.","A","L",71,86
"390",2017-02-23,"Arizona St.","UCLA","H","-",NA,NA
"391",2017-02-26,"Arizona St.","Southern California","H","-",NA,NA
"392",2017-03-04,"Arizona St.","Arizona","H","-",NA,NA
"393",2016-11-11,"Ark.-Pine Bluff","UAB","A","L",66,86
"394",2016-11-14,"Ark.-Pine Bluff","Ecclesia","H","W",83,47
"395",2016-11-17,"Ark.-Pine Bluff","George Washington","A","L",41,61
"396",2016-11-21,"Ark.-Pine Bluff","Blue Mountain","H","L",74,77
"397",2016-11-23,"Ark.-Pine Bluff","Siena","A","L",43,66
"398",2016-11-27,"Ark.-Pine Bluff","Hawaii","A","L",44,64
"399",2016-12-01,"Ark.-Pine Bluff","UT Martin","H","L",68,73
"400",2016-12-03,"Ark.-Pine Bluff","Central Mich.","A","L",59,82
"401",2016-12-08,"Ark.-Pine Bluff","Little Rock","A","L",52,67
"402",2016-12-12,"Ark.-Pine Bluff","Seattle U","A","L",58,63
"403",2016-12-14,"Ark.-Pine Bluff","Oklahoma St.","A","L",66,102
"404",2016-12-17,"Ark.-Pine Bluff","New Mexico","A","L",43,83
"405",2016-12-19,"Ark.-Pine Bluff","Denver","A","L",52,74
"406",2016-12-22,"Ark.-Pine Bluff","Grand Canyon","A","L",49,89
"407",2017-01-02,"Ark.-Pine Bluff","Mississippi Val.","H","W",105,91
"408",2017-01-07,"Ark.-Pine Bluff","Alabama St.","H","W",71,63
"409",2017-01-09,"Ark.-Pine Bluff","Alabama A&M","H","W",81,65
"410",2017-01-14,"Ark.-Pine Bluff","Southern U.","A","L",75,76
"411",2017-01-16,"Ark.-Pine Bluff","Alcorn","A","L",64,82
"412",2017-01-21,"Ark.-Pine Bluff","Texas Southern","H","L",63,70
"413",2017-01-23,"Ark.-Pine Bluff","Prairie View","H","W",71,68
"414",2017-01-28,"Ark.-Pine Bluff","Grambling","A","L",53,61
"415",2017-01-30,"Ark.-Pine Bluff","Jackson St.","A","L",59,74
"416",2017-02-04,"Ark.-Pine Bluff","Alabama St.","A","L",65,77
"417",2017-02-06,"Ark.-Pine Bluff","Alabama A&M","A","W",65,49
"418",2017-02-11,"Ark.-Pine Bluff","Southern U.","H","W",68,61
"419",2017-02-13,"Ark.-Pine Bluff","Alcorn","H","L",58,70
"420",2017-02-18,"Ark.-Pine Bluff","Texas Southern","A","L",40,78
"421",2017-02-20,"Ark.-Pine Bluff","Prairie View","A","-",NA,NA
"422",2017-02-25,"Ark.-Pine Bluff","Grambling","H","-",NA,NA
"423",2017-02-27,"Ark.-Pine Bluff","Jackson St.","H","-",NA,NA
"424",2017-03-04,"Ark.-Pine Bluff","Mississippi Val.","A","-",NA,NA
"425",2016-11-11,"Arkansas","Fort Wayne","H","W",92,83
"426",2016-11-14,"Arkansas","Southern Ill.","H","W",90,65
"427",2016-11-18,"Arkansas","UT Arlington","H","W",71,67
"428",2016-11-22,"Arkansas","Minnesota","A","L",71,85
"429",2016-11-28,"Arkansas","Mt. St. Mary's","H","W",89,76
