"","Team","Adj_O","Adj_D","Adj_T"
"1","A&M-Corpus Chris",0.898271861518773,1.08614008556445,69.0879221065265
"2","Abilene Christian",0.957327633578155,1.04447080366689,72.0739279926645
"3","Air Force",1.00450621156065,1.09327322056862,66.5790985131267
"4","Akron",1.02743972450968,1.08134317600029,69.6840393544143
"5","Alabama",1.0735253282605,0.935411083041577,71.6974472120928
"6","Alabama A&M",0.857496126008478,1.14868937525131,69.1732234785068
"7","Alabama St.",0.893872603113189,1.16870824677902,71.1613368752972
"8","Albany (NY)",1.08902110129703,1.06180348812841,67.6337403907942
"9","Alcorn",0.907243020741305,1.18169745490731,69.1885392383605
"10","American",0.908119477952373,1.10653078426265,68.553258533153
"11","Appalachian St.",0.980173922525427,1.03773544920302,73.4534493590281
"12","Arizona",1.22290183897986,0.964062662968808,71.4307684723265
"13","Arizona St.",1.18881254405054,0.968434862660929,74.4772583939783
"14","Ark.-Pine Bluff",0.903708649390919,1.1104047924014,71.2339478009422
"15","Arkansas",1.15676021312752,0.972513878127776,73.4829448723464
"16","Arkansas St.",1.01426277758741,1.14184458193251,70.9079473190303
"17","Army West Point",0.988489173790478,1.05491043689691,73.0512521939814
"18","Auburn",1.19566656431029,0.945098445003154,74.0182608915128
"19","Austin Peay",1.00626249224418,1.01731950252566,70.3725349573204
"20","BYU",1.11986884514237,0.947333280349633,68.6790976883292
"21","Ball St.",1.04564130371506,1.02654183187739,70.7227732871767
"22","Baylor",1.12106156674823,0.958468212592115,67.6534055161175
"23","Belmont",1.08008254138147,1.01930458742199,68.595540836542
"24","Bethune-Cookman",0.956108507784589,1.14951927593912,76.3496476647411
"25","Binghamton",0.993285971182464,1.10895177027949,67.3942838536276
"26","Boise St.",1.10557853260866,0.906245572563317,73.4097182670475
"27","Boston College",1.09704111768922,0.999247674147274,70.0949869286714
"28","Boston U.",1.01169895556351,1.07158963990209,70.0411426664227
"29","Bowling Green",0.989195599962458,1.0544186806152,76.1063448771153
"30","Bradley",1.00347507808254,0.972115128319501,68.2537047615128
"31","Brown",0.987490125372325,1.05799525327904,73.8066193460979
"32","Bryant",0.9504025928261,1.19184312318095,70.7945130656679
