"","Team","Adj_O","Adj_D","Adj_T"
"1","A&M-Corpus Chris",0.884804009001502,1.0912088259529,69.5051764114828
"2","Abilene Christian",0.956951242259181,1.04536158254884,72.0428008812145
"3","Air Force",1.00457189844,1.09296366989145,66.5854089507329
"4","Akron",1.0103871120579,1.07702600513383,69.0317845371021
"5","Alabama",1.07327779905866,0.935634096239062,71.7591365083899
"6","Alabama A&M",0.85818327896995,1.14892073365827,69.0826953647423
"7","Alabama St.",0.896197343192454,1.16639812613679,71.131848030216
"8","Albany (NY)",1.0778431058628,1.07020393768308,67.9380079432489
"9","Alcorn",0.900167102741185,1.18085128535298,69.0352621187365
"10","American",0.911158816645878,1.1083921567188,68.6144565448545
"11","Appalachian St.",0.980802471457874,1.03873888712937,73.491064301413
"12","Arizona",1.22141177212683,0.964037521237628,71.4696388260625
"13","Arizona St.",1.18939089164155,0.968509353871643,74.4794227991255
"14","Ark.-Pine Bluff",0.905266326296319,1.10447070849232,71.0830493742598
"15","Arkansas",1.15805592685514,0.971119961252202,73.4729596329079
"16","Arkansas St.",1.01496659376663,1.14189516209447,70.917212497036
"17","Army West Point",0.989540648009641,1.05444016521273,73.0322794938696
"18","Auburn",1.19379148969766,0.943504701425213,74.0902790245642
"19","Austin Peay",1.00409376634918,1.01657273880097,70.4637164967226
"20","BYU",1.12002970191687,0.947635854890853,68.6024714664439
"21","Ball St.",1.05003427117181,1.02653529069732,70.9724540325541
"22","Baylor",1.13212933902155,0.95398637487538,67.0874775197009
"23","Belmont",1.07945981891981,1.01827622883048,68.5119396369597
"24","Bethune-Cookman",0.953036002315276,1.13205858903761,76.2338101710716
"25","Binghamton",0.999642309614107,1.09979534966165,67.6157180177833
"26","Boise St.",1.10535145886532,0.905755925786802,73.4128808867633
"27","Boston College",1.0986468179499,0.990560785160078,70.2855663335326
"28","Boston U.",1.01296558524266,1.0743961239258,70.094644935489
"29","Bowling Green",0.997457329596548,1.0547599201852,75.9494775353746
"30","Bradley",1.00447125051052,0.971401983690184,68.3089959873049
"31","Brown",0.986977024378723,1.05819517439279,73.838376102472
"32","Bryant",0.949732685673447,1.19163425021011,70.7913350376309
"33","Bucknell",1.07078475392327,1.03334933488971,74.3179388203995
"34","Buffalo",1.13268877562889,1.01742487821153,74.9479684159934
"35","Butler",1.19792972310423,0.975756505698904,71.9510959701651
"36","CSU Bakersfield",0.919014495432559,1.05068263731009,67.6487042589276
"37","CSUN",0.921783871627329,1.13759814223867,68.1448694961456
"38","Cal Poly",0.988446385544518,1.10692028137181,69.2554455194461
"39","Cal St. Fullerton",1.03467899873136,1.04345182926253,73.7598719637465
"40","California",1.00989252353642,1.05665790791949,71.8447536250273
"41","Campbell",1.03736887693461,1.13344091324853,71.0369209706689
"42","Canisius",1.03802282641192,1.0353486808709,69.2583475829862
