"","Team","Adj_O","Adj_D","Adj_T"
"1","A&M-Corpus Chris",1.01394569452473,1.03893879547294,69.2770406773755
"2","Abilene Christian",0.958502368465131,1.1287853928085,68.9586482829964
"3","Air Force",0.977760673467252,1.05964179879041,68.8104636329321
"4","Akron",1.09348430597086,1.00201097253585,68.558364730748
"5","Alabama",1.04694300188527,0.968416952209595,66.0741402721677
"6","Alabama A&M",0.974951704603045,1.14730993579888,66.812570477225
"7","Alabama St.",0.961304831183814,1.11910870186073,71.121819814902
"8","Albany (NY)",1.05818373117647,1.01616172875594,68.197084975572
"9","Alcorn",0.950667036473768,1.13811771898021,67.70750678504
"10","American",0.901651543835189,1.07676901119954,62.4829055920385
"11","Appalachian St.",1.00564304915829,1.10462294396018,70.9998588560895
"12","Arizona",1.175934897388,0.928976289940105,70.3845025837053
"13","Arizona St.",1.08852971953379,1.00111695460941,69.2359120350671
"14","Ark.-Pine Bluff",0.849679769444947,1.1143810247744,65.5867730305689
"15","Arkansas",1.10549463596676,0.9854258988959,72.23420649382
"16","Arkansas St.",0.985879942660987,1.07783185985731,74.080570722839
"17","Army West Point",0.981968724198858,1.06427070341487,74.5280115426253
"18","Auburn",1.00506277128399,1.03573632741656,72.6879875252404
"19","Austin Peay",1.02471572309921,1.09649018721394,71.7044282975127
"20","BYU",1.13711508096676,0.967449023807496,74.6388848147228
"21","Ball St.",1.02928745848029,1.01269711298872,67.9076264001641
"22","Baylor",1.19255218160806,0.979850590763147,68.008159706779
"23","Belmont",1.12149306276777,1.1025501305382,72.8528326918504
"24","Bethune-Cookman",0.951216261539729,1.12341267795204,68.3187480417065
"25","Binghamton",0.864749083421661,1.04260028022805,66.4253837446066
"26","Boise St.",1.09154230716554,1.00066190618995,70.5963424115262
"27","Boston College",0.94202281148739,0.996417128984249,68.1461566687443
"28","Boston U.",1.01161567069628,1.07806278922623,71.1135205586718
"29","Bowling Green",0.990968106363958,1.06030605470872,69.0920729117193
"30","Bradley",0.864254366146949,1.03461513170193,68.6273796707595
"31","Brown",1.01370682458504,1.10660159209556,72.4934838790846
"32","Bryant",0.916640386706853,1.15290753576821,68.8185719963402
"33","Bucknell",1.04386836307797,1.04413500329145,73.2364933830288
"34","Buffalo",1.05392369234096,1.02118533983631,73.6135983853841
"35","Butler",1.17849401137755,0.982517912916305,69.5440487169535
"36","CSU Bakersfield",1.03361332553835,0.962890565059572,68.8103436421774
"37","CSUN",0.982346499383261,1.07298856331523,73.3027999003028
"38","Cal Poly",1.05077867717732,1.10723019875736,68.2090022368881
"39","Cal St. Fullerton",0.992329368211228,1.1031303481854,69.599405816338
"40","California",1.12308951194402,0.924501063272763,69.677193947582
"41","Campbell",0.991158614666483,1.12882514614613,69.2354999866278
"42","Canisius",1.06712929135224,1.13342503162091,69.877762920504
"43","Central Ark.",0.987046149001699,1.17606539486052,72.7931396888351
"44","Central Conn. St.",0.903208133676586,1.18527711532524,68.974642751501
"45","Central Mich.",1.10268895127224,1.08742136277166,67.6155590185239
"46","Charleston So.",0.977075322837462,1.12067598730993,69.6663416135952
"47","Charlotte",1.04849037304843,1.08078227510757,72.5129379106667
"48","Chattanooga",1.06404338557267,1.01115973352213,67.4700554028419
"49","Chicago St.",0.88817282536087,1.13183404626901,70.175723371311
"50","Cincinnati",1.11851863475329,0.920615085003227,67.6181134220136
"51","Clemson",1.11882709557993,0.953054925240333,65.3778774468747
"52","Cleveland St.",0.904207252086164,1.03565332332205,65.078069673699
"53","Coastal Caro.",1.00933333735743,1.01905936872047,67.739740751706
"54","Col. of Charleston",0.966408688966605,0.937968989129463,65.4552584164849
"55","Colgate",1.02240981039797,1.11796774684121,66.5387916754947
"56","Colorado",1.08609671164382,0.943009731755096,70.2484978998695
"57","Colorado St.",1.11632127484747,1.08984555782178,70.8913945927115
"58","Columbia",1.12627765291279,1.04719612995612,66.5953466147833
"59","Coppin St.",0.941966683356847,1.13914631399925,73.3760006007852
"60","Cornell",0.968741610550189,1.08682044834689,73.516970769297
"61","Creighton",1.14132773892539,0.970055731964448,71.2309690172748
"62","Dartmouth",0.988485749256991,1.04283057317601,68.9097647543497
"63","Davidson",1.1312210138015,1.06213884972651,71.1932763948431
"64","Dayton",1.06687497133874,0.918896260636888,69.5373652448906
"65","DePaul",1.03339292253722,1.05670448670546,68.242964692143
"66","Delaware",0.989450253050693,1.11802567021874,68.4359889775022
"67","Delaware St.",0.862223829096686,1.14694232286464,67.6334144226919
"68","Denver",1.00355524686707,1.04565640794687,62.3867558288615
"69","Detroit Mercy",1.08926729936733,1.11428892707742,74.5213825988002
"70","Drake",1.02348450321902,1.11654227427431,67.0295347064756
"71","Drexel",0.974430578509702,1.06341423315138,65.4303439862558
"72","Duke",1.21235762568994,0.966868774185144,69.2359334098014
"73","Duquesne",1.0719073663557,1.06167078409755,74.1746164517713
"74","ETSU",1.05855251754138,1.06625636724812,71.2663996358512
"75","East Carolina",1.02395920210031,1.04832686489327,69.2005381114776
"76","Eastern Ill.",0.98615834321973,1.09595294629779,69.2307861048549
"77","Eastern Ky.",1.05422786658347,1.0975131240672,73.1131938180525
"78","Eastern Mich.",1.05635694800976,1.04527968294134,71.7826340299984
"79","Eastern Wash.",1.1051710039722,1.14690720378671,69.5282719034606
"80","Elon",1.04466254235065,1.06077303576099,72.0416117654125
"81","Evansville",1.07246338941052,0.962454214553866,69.7983714496516
"82","FGCU",1.02768183838958,1.02348633263587,69.4830322819079
"83","FIU",1.0232979507805,1.07765244395194,66.9421865988042
"84","Fairfield",1.03119936998915,1.06522342597716,73.3087704138686
"85","Fairleigh Dickinson",1.02627344619766,1.14551385489691,73.1928331535429
"86","Fla. Atlantic",0.942380275744262,1.08087772615001,68.5298643456744
"87","Florida",1.10753087833813,0.924752338877962,70.1355824905693
"88","Florida A&M",0.810910128820338,1.08659979738817,72.3614901374148
"89","Florida St.",1.12540305349098,0.980764921881576,72.8927759239549
