"","Team","Adj_O","Adj_D","Adj_T"
"1","A&M-Corpus Chris",0.918130214296637,1.05991637853712,68.9062383618337
"2","Abilene Christian",0.95433116113965,1.0447184442179,70.7180632278295
"3","Air Force",0.960860749863006,1.05101953398726,68.1547927435394
"4","Akron",1.0418804717636,1.04600799450229,70.4328071653232
"5","Alabama",1.05735992600826,0.964638865619197,72.2414883046285
"6","Alabama A&M",0.833230409013149,1.15639543900339,71.049416737728
"7","Alabama St.",0.901189562120635,1.17016648736596,70.6640729233109
"8","Albany (NY)",1.08851743634803,1.05041765181162,68.5643835472865
"9","Alcorn",0.921729556142897,1.18504180312719,69.9989825042454
"10","American",0.943371722709831,1.14262015128053,68.2808489032446
"11","Appalachian St.",1.02576853753777,1.06805046722025,74.1938167040575
"12","Arizona",1.24004492743709,0.965293888896091,70.6357250279354
"13","Arizona St.",1.20804650719429,0.93540616579541,75.0554843847182
"14","Ark.-Pine Bluff",0.872250804678896,1.11322389125644,69.305405070631
"15","Arkansas",1.17189751123523,0.95056357536405,73.8536912103615
"16","Arkansas St.",1.00434466146244,1.11450969827893,71.7258921634853
"17","Army West Point",1.01230381623385,1.0597520610774,73.435073668808
"18","Auburn",1.16574021628598,0.961411222679265,73.5134797536055
"19","Austin Peay",0.9637200258868,1.02115221752876,71.5647850663178
"20","BYU",1.13296033160628,0.973579052980933,69.7572989068527
"21","Ball St.",1.0680869259699,1.03073646071259,72.3449924189625
"22","Baylor",1.16735770162613,0.967850629424436,68.4839484367369
"23","Belmont",1.09539955603794,1.02901352964959,69.4080318099326
"24","Bethune-Cookman",0.916520465899968,1.1180351310986,75.8540276454396
"25","Binghamton",1.00221750204952,1.05906049447865,67.1308490806685
"26","Boise St.",1.07479641832203,0.890876381285389,73.1083072087974
"27","Boston College",1.07392512550063,0.994686120407912,70.3323094319273
"28","Boston U.",1.00567822667604,1.12821571876112,70.0472440166615
"29","Bowling Green",1.00680909267168,1.08375736262376,75.8314398365296
"30","Bradley",0.984331112417267,0.945960795918387,68.2737869663175
"31","Brown",0.994759338770825,1.04262239342965,73.951303796763
"32","Bryant",0.926906381864154,1.18753822283556,71.0261655550583
"33","Bucknell",1.10299528081324,1.07914629786683,74.3185543417705
"34","Buffalo",1.07936314002872,1.03068035702828,75.0152362030406
"35","Butler",1.17848483252957,0.924677011187264,71.4214066913109
"36","CSU Bakersfield",0.942324266045825,1.01917497464398,67.6643754641301
"37","CSUN",0.936282388496793,1.14085690896379,69.0033823279936
"38","Cal Poly",0.989761811872236,1.11082995823998,68.4749461312253
"39","Cal St. Fullerton",1.00794441388886,1.03143167114127,72.2714680374941
"40","California",1.04252907247661,1.04834890444078,73.2010208163583
"41","Campbell",1.04627347184654,1.11808106265957,71.0836155372619
"42","Canisius",1.01885948402422,1.05677737289578,68.2469828006624
"43","Central Ark.",1.04410019304771,1.09515011484149,76.7289253834671
"44","Central Conn. St.",1.02269325310935,1.09706936679451,67.9271457039907
"45","Central Mich.",1.0579389301563,1.03235091864439,68.8600468135729
"46","Charleston So.",0.946718663603043,1.11112985131902,70.5310439924754
"47","Charlotte",0.98086831435063,1.052994835928,72.7563062877471
"48","Chattanooga",0.940451990594187,1.01349031119692,68.5936630522075
"49","Chicago St.",0.851983786903015,1.21197746263617,72.5913646264679
"50","Cincinnati",1.15390403596433,0.911738523367702,70.3518348174764
"51","Clemson",1.14088356389546,0.888638830741336,68.8139064347792
"52","Cleveland St.",0.933333030668604,1.0587257181022,69.9670845881395
"53","Coastal Caro.",1.05617701410602,1.08431633397514,70.2654013659014
"54","Col. of Charleston",0.995247295556997,0.972194346143219,68.805863876486
"55","Colgate",1.04635036886591,1.08979629614045,69.540999033441
"56","Colorado",1.05240527598599,0.978874863181746,72.9241339992996
"57","Colorado St.",1.00565377336043,1.0275269346839,71.0144420831025
"58","Columbia",1.01301924380836,1.09544413291423,73.0722283891736
"59","Coppin St.",0.804534026095607,1.06912967419659,70.5179679307184
"60","Cornell",1.01158778775751,1.10576814996975,71.8315226885969
"61","Creighton",1.20990251075048,0.948071686214938,74.7136466532345
"62","Dartmouth",0.985226384437357,1.11068733585014,70.1075392408222
"63","Davidson",1.13171602334937,1.04583566752001,69.5393451075702
"64","Dayton",1.06149302425793,0.992408146705289,69.9518997969694
"65","DePaul",1.04653862615688,0.971510512761073,69.767076817185
"66","Delaware",1.0361583168346,1.1123534599989,67.3700701711775
"67","Delaware St.",0.913364236522758,1.236233703211,67.4683153211282
"68","Denver",0.96709135302318,1.09917290273654,69.4928442483143
